page,statement,demand_no,ministry_department,expenditure_category,category_number,row_type,actuals_2022_23_revenue,actuals_2022_23_capital,actuals_2022_23_total,BE_2023_24_revenue,BE_2023_24_capital,BE_2023_24_total,RE_2023_24_revenue,RE_2023_24_capital,RE_2023_24_total,BE_2024_25_revenue,BE_2024_25_capital,BE_2024_25_total
25,Statement 3,100,Ministry of Tribal Affairs,Other Central Sector Expenditure,4.0,category,,,,,15.00,15.00,,15.00,15.00,,,
25,Statement 3,100,Ministry of Tribal Affairs,Other Grants/Loans/Transfers,5.0,category,976.50,,976.50,1472.11,,1472.11,1172.10,,1172.10,1541.48,,1541.48
25,Statement 3,101,Ministry of Women and Child Development,,,ministry_total,23994.05,,23994.05,25443.67,5.08,25448.75,25437.60,11.08,25448.68,26088.81,3.38,26092.19
25,Statement 3,101,Ministry of Women and Child Development,Centrally Sponsored Schemes,1.0,category,23746.10,,23746.10,25188.44,2.00,25190.44,25149.15,2.00,25151.15,25848.14,,25848.14
26,Statement 3,101,Ministry of Women and Child Development,Establishment Expenditure of the Centre,2.0,category,72.79,,72.79,79.32,3.08,82.40,83.62,9.08,92.70,80.41,3.38,83.79
26,Statement 3,101,Ministry of Women and Child Development,Other Central Sector Expenditure,3.0,category,175.16,,175.16,175.91,,175.91,204.83,,204.83,160.26,,160.26
26,Statement 3,102,Ministry of Youth Affairs and Sports,,,ministry_total,2543.70,2.00,2545.70,3389.56,7.76,3397.32,3392.90,4.06,3396.96,3435.85,6.47,3442.32
26,Statement 3,102,Ministry of Youth Affairs and Sports,Central Sector Schemes/Projects,1.0,category,1241.58,2.00,1243.58,1908.12,5.39,1913.51,1785.09,1.49,1786.58,1701.31,3.55,1704.86
26,Statement 3,102,Ministry of Youth Affairs and Sports,Establishment Expenditure of the Centre,2.0,category,41.50,,41.50,41.86,2.37,44.23,38.15,2.57,40.72,41.73,2.92,44.65
26,Statement 3,102,Ministry of Youth Affairs and Sports,Other Central Sector Expenditure,3.0,category,1260.62,,1260.62,1439.58,,1439.58,1569.66,,1569.66,1692.81,,1692.81
26,Statement 3,102,Ministry of Youth Affairs and Sports,Grand Total,,other,3453132.07,740025.16,4193157.23,3502136.44,1000961.01,4503097.45,3540239.27,950246.30,4490485.57,3709401.08,1111111.00,4820512.08
26,Statement 3,102,Ministry of Youth Affairs and Sports,Central Sector Schemes/Projects,,other,849547.79,596374.79,1445922.58,695454.46,772425.53,1467879.99,714259.68,731892.78,1446152.46,750579.03,765596.72,1516175.75
26,Statement 3,102,Ministry of Youth Affairs and Sports,Centrally Sponsored Schemes,,other,437552.70,3.62,437556.32,475676.83,427.76,476104.59,460451.75,162.73,460614.48,505941.24,36.83,505978.07
26,Statement 3,102,Ministry of Youth Affairs and Sports,Establishment Expenditure of the Centre,,other,705786.26,8863.94,714650.20,729829.24,14509.99,744339.23,766643.73,15130.61,781774.34,768034.74,15583.34,783618.08
26,Statement 3,102,Ministry of Youth Affairs and Sports,Finance Commission Grants,,other,172759.68,,172759.68,165480.00,,165480.00,140429.00,,140429.00,132378.17,,132378.17
26,Statement 3,102,Ministry of Youth Affairs and Sports,Other Central Sector Expenditure,,other,1063692.77,40896.98,1104589.75,1227192.25,74349.53,1301541.78,1244727.48,84576.44,1329303.92,1323325.43,167260.57,1490586.00
26,Statement 3,102,Ministry of Youth Affairs and Sports,Other Grants/Loans/Transfers,,other,223792.87,93885.83,317678.70,208503.66,139248.20,347751.86,213727.63,118483.74,332211.37,229142.47,162633.54,391776.01
