page,pdf_page,statement,ministry_department,expenditure_category,category_number,actuals_2020_2021_revenue,actuals_2020_2021_capital,actuals_2020_2021_total,BE_2021_2022_revenue,BE_2021_2022_capital,BE_2021_2022_total,RE_2021_2022_revenue,RE_2021_2022_capital,RE_2021_2022_total,BE_2022_2023_revenue,BE_2022_2023_capital,BE_2022_2023_total
9,13,Statement 3,Department of Economic Affairs,Central Sector Schemes/Projects,1,2632.83,3567.45,6200.28,2244.01,5010.01,7254.02,1434.67,5010.01,6444.68,1703.0,5100.01,6803.01
10,14,Statement 3,Department of Economic Affairs,Establishment Expenditure of the Centre,2,155.59,,155.59,196.06,,196.06,215.6,,215.6,248.39,,248.39
10,14,Statement 3,Department of Economic Affairs,Other Central Sector Expenditure,3,2625.38,4277.28,6902.66,2080.71,51597.39,53678.1,3440.25,5515.57,8955.82,4191.97,3296.89,7488.86
10,14,Statement 3,Department of Expenditure,Total Ministry/Department,,289.16,,289.16,454.74,,454.74,459.57,,459.57,476.88,0.01,476.89
10,14,Statement 3,Department of Expenditure,Establishment Expenditure of the Centre,1,277.75,,277.75,432.92,,432.92,441.14,,441.14,458.81,0.01,458.82
10,14,Statement 3,Department of Expenditure,Other Central Sector Expenditure,2,11.41,,11.41,21.82,,21.82,18.43,,18.43,18.07,,18.07
10,14,Statement 3,Department of Financial Services,Total Ministry/Department,,10116.5,12650.0,22766.5,3710.77,25800.02,29510.79,3037.87,32034.0,35071.87,1102.7,4211.03,5313.73
10,14,Statement 3,Department of Financial Services,Central Sector Schemes/Projects,1,9910.16,12650.0,22560.16,3498.9,25800.02,29298.92,2826.91,32034.0,34860.91,869.41,4211.03,5080.44
10,14,Statement 3,Department of Financial Services,Establishment Expenditure of the Centre,2,206.34,,206.34,211.87,,211.87,210.96,,210.96,233.29,,233.29
10,14,Statement 3,Department of Public Enterprises,Total Ministry/Department,,16.11,,16.11,21.81,,21.81,27.0,150.0,177.0,30.0,,30.0
10,14,Statement 3,Department of Public Enterprises,Central Sector Schemes/Projects,1,3.7,,3.7,8.55,,8.55,6.8,,6.8,8.55,,8.55
10,14,Statement 3,Department of Public Enterprises,Establishment Expenditure of the Centre,2,12.41,,12.41,13.26,,13.26,20.2,150.0,170.2,21.45,,21.45
10,14,Statement 3,Department of Investment and Public Asset Management,Total Ministry/Department,,71.72,,71.72,110.52,,110.52,96.88,,96.88,290.42,,290.42
10,14,Statement 3,Department of Investment and Public Asset Management,Establishment Expenditure of the Centre,1,71.72,,71.72,110.52,,110.52,96.88,,96.88,290.42,,290.42
10,14,Statement 3,Department of Revenue,Total Ministry/Department,,131662.38,0.15,131662.53,101222.36,13.02,101235.38,111893.77,11.67,111905.44,121226.99,4.3,121231.29
10,14,Statement 3,Department of Revenue,Establishment Expenditure of the Centre,1,614.58,,614.58,804.31,,804.31,821.21,,821.21,826.64,,826.64
10,14,Statement 3,Department of Revenue,Other Central Sector Expenditure,2,328.8,0.15,328.95,418.02,13.02,431.04,277.09,11.67,288.76,400.32,4.3,404.62
10,14,Statement 3,Department of Revenue,Other Grants/Loans/Transfers,3,130719.0,,130719.0,100000.03,,100000.03,110795.47,,110795.47,120000.03,,120000.03
10,14,Statement 3,Direct Taxes,Total Ministry/Department,,7223.29,173.09,7396.38,8180.34,350.0,8530.34,8206.89,300.0,8506.89,8866.8,440.0,9306.8
10,14,Statement 3,Direct Taxes,Establishment Expenditure of the Centre,1,7223.29,172.1,7395.39,8180.34,350.0,8530.34,8206.89,300.0,8506.89,8866.8,440.0,9306.8
10,14,Statement 3,Direct Taxes,Other Central Sector Expenditure,2,,0.99,0.99,,,,,,,,,
10,14,Statement 3,Indirect Taxes,Total Ministry/Department,,7164.02,216.1,7380.12,20882.77,452.0,21334.77,73960.49,978.0,74938.49,39738.67,1400.0,41138.67
10,14,Statement 3,Indirect Taxes,Establishment Expenditure of the Centre,1,7164.02,216.1,7380.12,20882.77,452.0,21334.77,73960.49,978.0,74938.49,39738.67,1400.0,41138.67
10,14,Statement 3,Indian Audit and Accounts Department,Total Ministry/Department,,4732.52,7.91,4740.43,5067.19,24.95,5092.14,5049.69,54.95,5104.64,5596.14,24.0,5620.14
10,14,Statement 3,Indian Audit and Accounts Department,Establishment Expenditure of the Centre,1,4732.52,7.91,4740.43,5067.19,24.95,5092.14,5049.69,54.95,5104.64,5596.14,24.0,5620.14
10,14,Statement 3,Interest Payments,Total Ministry/Department,,679868.58,,679868.58,809701.32,,809701.32,813791.0,,813791.0,940651.02,,940651.02
10,14,Statement 3,Interest Payments,Other Central Sector Expenditure,1,679868.58,,679868.58,809701.32,,809701.32,813791.0,,813791.0,940651.02,,940651.02
10,14,Statement 3,Repayment of Debt,Total Ministry/Department,,,,,,,,,,,,,
10,14,Statement 3,Repayment of Debt,Other Central Sector Expenditure,1,,,,,,,,,,,,
10,14,Statement 3,Pensions,Total Ministry/Department,,62724.63,,62724.63,55873.12,,55873.12,63005.12,,63005.12,65840.81,,65840.81
10,14,Statement 3,Pensions,Establishment Expenditure of the Centre,1,62724.63,,62724.63,55873.12,,55873.12,63005.12,,63005.12,65840.81,,65840.81
10,14,Statement 3,Transfers to States,Total Ministry/Department,,191922.55,19552.15,211474.7,280133.77,13168.23,293302.0,264578.15,20816.08,285394.23,222440.0,111899.42,334339.42
11,15,Statement 3,Transfers to States,Finance Commission Grants,1,184062.5,,184062.5,220843.0,,220843.0,211065.0,,211065.0,192108.0,,192108.0
11,15,Statement 3,Transfers to States,Other Grants/Loans/Transfers,2,7860.05,19552.15,27412.2,59290.77,13168.23,72459.0,53513.15,20816.08,74329.23,30332.0,111899.42,142231.42
11,15,Statement 3,Department of Fisheries,Total Ministry/Department,,877.94,4.69,882.63,1192.16,28.68,1220.84,1389.54,17.75,1407.29,2093.9,24.57,2118.47
11,15,Statement 3,Department of Fisheries,Centrally Sponsored Schemes,1,708.58,,708.58,1015.0,,1015.0,1210.0,,1210.0,1891.0,,1891.0
11,15,Statement 3,Department of Fisheries,Establishment Expenditure of the Centre,2,134.11,4.69,138.8,149.32,28.68,178.0,157.5,17.75,175.25,179.5,24.57,204.07
11,15,Statement 3,Department of Fisheries,Other Central Sector Expenditure,3,35.25,,35.25,27.84,,27.84,22.04,,22.04,23.4,,23.4
11,15,Statement 3,Department of Animal Husbandry and Dairying,Total Ministry/Department,,2460.02,3.52,2463.54,3057.59,44.39,3101.98,2700.17,13.58,2713.75,3862.8,56.04,3918.84
11,15,Statement 3,Department of Animal Husbandry and Dairying,Central Sector Schemes/Projects,1,858.0,,858.0,1753.0,,1753.0,1148.0,,1148.0,2315.0,,2315.0
